,code,name,population,state,area
0,ACT1,Canberra,191764,ACT,2002
1,ACT2,Fenner,199353,ACT,459
2,NSW1,Banks,158760,NSW,53
3,NSW10,Cowper,161551,NSW,7296
4,NSW11,Cunningham,160151,NSW,519
5,NSW12,Dobell,155305,NSW,787
6,NSW13,Eden-Monaro,149891,NSW,41617
7,NSW14,Farrer,166399,NSW,126590
8,NSW15,Fowler,168249,NSW,69
9,NSW16,Gilmore,151568,NSW,6342
10,NSW17,Grayndler,154123,NSW,32
11,NSW18,Greenway,171191,NSW,81
12,NSW19,Hughes,146828,NSW,369
13,NSW2,Barton,170815,NSW,40
14,NSW20,Hume,151493,NSW,17240
15,NSW21,Hunter,161216,NSW,10640
16,NSW22,Kingsford Smith,180244,NSW,91
17,NSW23,Lindsay,167319,NSW,339
18,NSW24,Lyne,146389,NSW,16099
19,NSW25,Macarthur,158566,NSW,363
20,NSW26,Mackellar,155501,NSW,233
21,NSW27,Macquarie,145842,NSW,4374
22,NSW28,McMahon,169869,NSW,168
23,NSW29,Mitchell,156705,NSW,101
24,NSW3,Bennelong,168981,NSW,60
25,NSW30,New England,157748,NSW,68394
26,NSW31,Newcastle,158957,NSW,171
27,NSW32,North Sydney,167808,NSW,53
28,NSW33,Page,161418,NSW,19342
29,NSW34,Parkes,161728,NSW,393413
30,NSW35,Parramatta,192255,NSW,57
31,NSW36,Paterson,155168,NSW,1123
32,NSW37,Reid,180536,NSW,55
33,NSW38,Richmond,155303,NSW,2148
34,NSW39,Riverina,158138,NSW,48988
35,NSW4,Berowra,152189,NSW,786
36,NSW40,Robertson,147142,NSW,980
37,NSW41,Shortland,149383,NSW,265
38,NSW42,Sydney,196214,NSW,44
39,NSW43,Warringah,156906,NSW,68
40,NSW44,Watson,179191,NSW,47
41,NSW45,Wentworth,158882,NSW,38
42,NSW46,Werriwa,171467,NSW,172
43,NSW47,Whitlam,154050,NSW,1331
44,NSW5,Blaxland,178915,NSW,61
45,NSW6,Bradfield,165720,NSW,101
46,NSW7,Calare,165092,NSW,32666
47,NSW8,Chifley,172193,NSW,126
48,NSW9,Cook,144325,NSW,94
49,NT1,Solomon,120255,NT,337
50,NT2,Lingiari,126881,NT,1352371
51,QLD1,Wide Bay,146030,Qld,14573
52,QLD10,Dickson,151574,Qld,772
53,QLD11,Rankin,186442,Qld,131
54,QLD12,Flynn,165073,Qld,133063
55,QLD13,Leichhardt,179222,Qld,148988
56,QLD14,Ryan,162554,Qld,441
57,QLD15,Herbert,166283,Qld,946
58,QLD16,Moncrieff,162512,Qld,92
59,QLD17,Moreton,162041,Qld,111
60,QLD18,Dawson,164553,Qld,14945
61,QLD19,Blair,152524,Qld,6409
62,QLD2,Bonner,154265,Qld,360
63,QLD20,Maranoa,154669,Qld,731297
64,QLD21,Groom,151440,Qld,5594
65,QLD22,Petrie,158788,Qld,152
66,QLD23,Forde,168075,Qld,419
67,QLD24,Capricornia,160803,Qld,91049
68,QLD25,Brisbane,164885,Qld,58
69,QLD26,Fairfax,147537,Qld,1036
70,QLD27,Fisher,139204,Qld,1170
71,QLD28,Griffith,162234,Qld,60
72,QLD29,Fadden,167138,Qld,395
73,QLD3,Bowman,149989,Qld,537
74,QLD30,Wright,151359,Qld,7589
75,QLD4,Longman,159345,Qld,1239
76,QLD5,McPherson,153754,Qld,230
77,QLD6,Kennedy,163881,Qld,568993
78,QLD7,Oxley,168603,Qld,155
79,QLD8,Hinkler,142636,Qld,3504
80,QLD9,Lilley,161441,Qld,147
81,SA1,Boothby,148778,SA,130
82,SA10,Adelaide,167378,SA,76
83,SA11,Barker,148776,SA,63886
84,SA2,Grey,148658,SA,904881
85,SA3,Sturt,154284,SA,85
86,SA4,Wakefield,166455,SA,6407
87,SA5,Mayo,140828,SA,9315
88,SA6,Makin,151737,SA,130
89,SA7,Hindmarsh,155106,SA,78
90,SA8,Kingston,149217,SA,171
91,SA9,Port Adelaide,167443,SA,181
92,TAS1,Bass,104088,Tas.,7378
93,TAS2,Braddon,101863,Tas.,20826
94,TAS3,Franklin,103472,Tas.,6514
95,TAS4,Lyons,104575,Tas.,32910
96,TAS5,Denison,102588,Tas.,289
97,VIC1,Gippsland,141936,Vic.,33054
98,VIC10,Gellibrand,169341,Vic.,102
99,VIC11,Murray,143822,Vic.,19500
100,VIC12,Menzies,141829,Vic.,125
101,VIC13,Deakin,149846,Vic.,70
102,VIC14,Scullin,170550,Vic.,169
103,VIC15,Wills,174190,Vic.,57
104,VIC16,McMillan,161451,Vic.,8358
105,VIC17,Melbourne,203620,Vic.,46
106,VIC18,Calwell,172354,Vic.,175
107,VIC19,McEwen,196166,Vic.,4592
108,VIC2,Mallee,136810,Vic.,73879
109,VIC20,Flinders,152229,Vic.,1952
110,VIC21,Indi,136016,Vic.,28567
111,VIC22,Melbourne Ports,168676,Vic.,40
112,VIC23,La Trobe,153080,Vic.,562
113,VIC24,Bendigo,147326,Vic.,6255
114,VIC25,Ballarat,153507,Vic.,4652
115,VIC26,Chisholm,166763,Vic.,65
116,VIC27,Corangamite,147225,Vic.,7624
117,VIC28,Gorton,194171,Vic.,562
118,VIC29,Kooyong,151811,Vic.,52
119,VIC3,Aston,137087,Vic.,99
120,VIC30,Lalor,226534,Vic.,546
121,VIC31,Casey,142779,Vic.,2337
122,VIC32,Corio,149541,Vic.,989
123,VIC33,Jagajaga,146126,Vic.,128
124,VIC34,Hotham,157068,Vic.,75
125,VIC35,Bruce,162312,Vic.,73
126,VIC36,Isaacs,157099,Vic.,166
127,VIC37,Goldstein,154128,Vic.,50
128,VIC4,Wannon,131093,Vic.,32047
129,VIC5,Holt,196511,Vic.,131
130,VIC6,Maribyrnong,169442,Vic.,73
131,VIC7,Higgins,159893,Vic.,40
132,VIC8,Dunkley,148527,Vic.,140
133,VIC9,Batman,166622,Vic.,66
134,WA1,Brand,166111,WA,377
135,WA10,Burt,175876,WA,172
136,WA11,O'Connor,164244,WA,868576
137,WA12,Pearce,171266,WA,13250
138,WA13,Perth,163553,WA,80
139,WA14,Stirling,159701,WA,74
140,WA15,Swan,176421,WA,134
141,WA16,Tangney,148105,WA,83
142,WA2,Canning,148137,WA,6304
143,WA3,Cowan,159808,WA,180
144,WA4,Curtin,153261,WA,98
145,WA5,Durack,196923,WA,1629858
146,WA6,Forrest,150602,WA,11072
147,WA7,Fremantle,155045,WA,196
148,WA8,Hasluck,149053,WA,1192
149,WA9,Moore,152153,WA,90
